Alert ID,Ticker,Name,Description,Time,Webhook status
4677193616,"CME_MINI_DL:MNQ1!, 5m",{{strategy.order.alert_message}},"{""ticker"":""MNQ"",""action"":""exit"",""price"":29419,""signalId"":""OPPOSITE_LEVEL_EXIT""}",2026-05-11T20:05:00Z,Webhook delivery failed — 400 Bad Request
4677193616,"CME_MINI_DL:MNQ1!, 5m",{{strategy.order.alert_message}},"{""ticker"":""MNQ"",""action"":""buy"",""price"":29419,""stopPrice"":29339,""takeProfit"":29569,""signalId"":""E0_ENTRY""}",2026-05-11T20:05:00Z,Webhook delivery failed — 400 Bad Request
4677205101,"CME_MINI_DL:MES1!, 5m",{{strategy.order.alert_message}},"{""ticker"":""MNQ"",""action"":""exit"",""price"":7435.25,""signalId"":""DEEP_EXIT""}",2026-05-11T20:05:00Z,Webhook delivery failed — 400 Bad Request
4677193616,"CME_MINI_DL:MNQ1!, 5m",{{strategy.order.alert_message}},"{""ticker"":""MNQ"",""action"":""exit"",""price"":29419,""signalId"":""SESSION_END_EXIT""}",2026-05-11T20:05:00Z,Webhook delivery failed — 400 Bad Request
4677193616,"CME_MINI_DL:MNQ1!, 5m",{{strategy.order.alert_message}},"{""ticker"":""MNQ"",""action"":""exit"",""price"":29419,""signalId"":""DEEP_EXIT""}",2026-05-11T20:05:00Z,Webhook delivery failed — 400 Bad Request
4677205101,"CME_MINI_DL:MES1!, 5m",{{strategy.order.alert_message}},"{""ticker"":""MNQ"",""action"":""sell"",""price"":7435.25,""stopPrice"":7515.25,""takeProfit"":7285.25,""signalId"":""E1_ENTRY""}",2026-05-11T20:05:00Z,Webhook delivery failed — 400 Bad Request
4677193616,"CME_MINI_DL:MNQ1!, 5m",{{strategy.order.alert_message}},"{""ticker"":""MNQ"",""action"":""exit"",""price"":29419,""signalId"":""TIME_STOP_EXIT""}",2026-05-11T20:05:00Z,Webhook delivery failed — 400 Bad Request
4677193616,"CME_MINI_DL:MNQ1!, 5m",{{strategy.order.alert_message}},"{""ticker"":""MNQ"",""action"":""sell"",""price"":29419,""stopPrice"":29499,""takeProfit"":29269,""signalId"":""E1_ENTRY""}",2026-05-11T20:05:00Z,Webhook delivery failed — 400 Bad Request
4677205101,"CME_MINI_DL:MES1!, 5m",{{strategy.order.alert_message}},"{""ticker"":""MNQ"",""action"":""exit"",""price"":7435.25,""signalId"":""OPPOSITE_LEVEL_EXIT""}",2026-05-11T20:05:00Z,Webhook delivery failed — 400 Bad Request
4677205101,"CME_MINI_DL:MES1!, 5m",{{strategy.order.alert_message}},"{""ticker"":""MNQ"",""action"":""exit"",""price"":7435.25,""signalId"":""SESSION_END_EXIT""}",2026-05-11T20:05:00Z,Webhook delivery failed — 400 Bad Request
4677205101,"CME_MINI_DL:MES1!, 5m",{{strategy.order.alert_message}},"{""ticker"":""MNQ"",""action"":""exit"",""price"":7435.25,""signalId"":""TIME_STOP_EXIT""}",2026-05-11T20:05:00Z,Webhook delivery failed — 400 Bad Request
4677205101,"CME_MINI_DL:MES1!, 5m",{{strategy.order.alert_message}},"{""ticker"":""MNQ"",""action"":""buy"",""price"":7435.25,""stopPrice"":7355.25,""takeProfit"":7585.25,""signalId"":""E0_ENTRY""}",2026-05-11T20:05:00Z,Webhook delivery failed — 400 Bad Request
