MNQ2023Z,20231215,0100,16557.25,16562.75,16557.25,16561.75,19,27
MNQ2023Z,20231215,0105,16562.00,16569.50,16562.00,16567.75,109,206
MNQ2023Z,20231215,0110,16568.50,16573.00,16568.25,16571.25,50,87
MNQ2023Z,20231215,0115,16572.00,16575.75,16570.25,16573.00,36,53
MNQ2023Z,20231215,0120,16574.00,16575.50,16572.75,16573.50,21,34
MNQ2023Z,20231215,0125,16573.75,16579.50,16573.75,16579.00,28,66
MNQ2023Z,20231215,0130,16577.50,16582.00,16577.00,16582.00,35,57
MNQ2023Z,20231215,0135,16582.00,16583.00,16581.00,16582.00,22,74
MNQ2023Z,20231215,0140,16581.25,16585.50,16581.00,16584.50,27,84
MNQ2023Z,20231215,0145,16585.25,16586.00,16583.50,16586.00,12,35
MNQ2023Z,20231215,0150,16584.75,16586.25,16584.75,16584.75,4,13
MNQ2023Z,20231215,0155,16586.75,16590.00,16585.50,16589.00,31,57
MNQ2023Z,20231215,0200,16587.50,16587.50,16583.25,16587.25,32,67
MNQ2023Z,20231215,0205,16586.75,16588.50,16585.50,16587.75,13,20
MNQ2023Z,20231215,0210,16588.75,16588.75,16580.75,16581.50,27,41
MNQ2023Z,20231215,0215,16582.25,16585.25,16580.25,16583.75,23,34
MNQ2023Z,20231215,0220,16584.00,16584.00,16577.50,16579.50,32,70
MNQ2023Z,20231215,0225,16579.25,16583.50,16576.75,16576.75,28,43
MNQ2023Z,20231215,0230,16578.25,16583.75,16577.25,16581.50,25,29
MNQ2023Z,20231215,0235,16580.25,16580.25,16572.50,16575.75,31,52
MNQ2023Z,20231215,0240,16576.00,16584.75,16576.00,16582.50,32,49
MNQ2023Z,20231215,0245,16580.25,16582.50,16579.00,16579.25,13,19
MNQ2023Z,20231215,0250,16577.00,16586.75,16575.75,16585.75,37,62
MNQ2023Z,20231215,0255,16587.00,16591.50,16585.75,16590.75,61,96
MNQ2023Z,20231215,0300,16590.50,16591.25,16584.25,16585.25,104,307
MNQ2023Z,20231215,0305,16584.25,16591.25,16583.50,16590.75,72,171
MNQ2023Z,20231215,0310,16591.00,16595.25,16591.00,16594.75,140,331
MNQ2023Z,20231215,0315,16594.75,16596.25,16591.50,16595.75,101,164
MNQ2023Z,20231215,0320,16595.75,16598.25,16594.00,16598.00,90,131
MNQ2023Z,20231215,0325,16597.50,16598.25,16594.00,16595.75,31,49
MNQ2023Z,20231215,0330,16597.00,16597.00,16590.75,16595.00,27,41
MNQ2023Z,20231215,0335,16594.00,16597.25,16594.00,16595.25,18,37
MNQ2023Z,20231215,0340,16595.00,16598.00,16593.00,16598.00,23,33
MNQ2023Z,20231215,0345,16596.00,16600.00,16596.00,16597.00,25,79
MNQ2023Z,20231215,0350,16596.50,16599.25,16596.50,16597.50,8,16
MNQ2023Z,20231215,0355,16597.75,16601.00,16597.50,16599.75,27,143
